		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110110000   33   25   22   21   32   21   21   25  7.324993 0.502008 SUCCESS 112
110110010   22   24   22   18   20   25   29   23  4.043559 0.853172 SUCCESS 113
110110100   28   30   23   22   17   25   31   12 12.898863 0.115377 SUCCESS 114
110111000   24   28   22   21   23   21   25   24  1.883519 0.984377 SUCCESS 115
110111010   18   24   27   23   21   27   32   16  8.323258 0.402547 SUCCESS 116
110111100   20   27   27   23   26   29   25   22  2.740783 0.949557 SUCCESS 117
111000000   26   16   20   21   24   25   28   23  5.060360 0.751106 SUCCESS 118
111000010   19   31   31   25   15   23   29   17 11.984006 0.151919 SUCCESS 119
111000100   26   27   26   31   28   21   28   28  4.488409 0.810592 SUCCESS 120
111000110   20   23   25   20   33   26   23   20  5.883201 0.660313 SUCCESS 121
111001000   25   21   25   34   21   17   31   26  9.189128 0.326594 SUCCESS 122
111001010   31   26   22   25   24   31   24   29  4.970992 0.760672 SUCCESS 123
111001100   24   28   30   24   23   19   20   32  6.477659 0.593887 SUCCESS 124
111010000   28   31   18   27   24   35   23   30 10.597821 0.225545 SUCCESS 125
111010010   26   29   22   25   26   16   21   35  9.612795 0.293261 SUCCESS 126
111010100   20   32   15   20   17   28   28   21 11.737088 0.163325 SUCCESS 127
111010110   30   27   22   30   26   20   17   19  7.671208 0.466228 SUCCESS 128
111011000   24   26   20   19   28   24   22   31  4.816089 0.777040 SUCCESS 129
111011010   26   28   26   21   25   17   31   23  5.519774 0.700848 SUCCESS 130
111011100   30   26   24   28   24   20   24   30  4.156757 0.842710 SUCCESS 131
111100000   19   18   23   26   22   32   22   19  7.330950 0.501383 SUCCESS 132
111100010   26   20   25   36   28   23   22   23  7.605010 0.472972 SUCCESS 133
111100100   19   22   31   24   18   20   29   30  8.112087 0.422599 SUCCESS 134
111100110   16   30   37   22   27   19   22   33 16.188902 0.039755 SUCCESS 135
111101000   29   16   23   28   27   23   19   28  6.671619 0.572441 SUCCESS 136
111101010   18   29   22   23   26   25   28   26  3.740372 0.879755 SUCCESS 137
111101100   22   22   15   27   27   22   22   26  5.399293 0.714170 SUCCESS 138
111101110   28   30   19   27   27   21   20   27  5.282785 0.726968 SUCCESS 139
111110000   19   24   29   22   22   37   23   24  9.443328 0.306287 SUCCESS 140
111110010   25   24   24   31   23   22   32   26  4.758497 0.783049 SUCCESS 141
111110100   24   29   23   23   19   18   16   26  7.135666 0.522069 SUCCESS 142
111110110   25   27   20   31   22   17   22   18  7.509023 0.482835 SUCCESS 143
111111000   28   24   28   21   21   32   26   22  4.884935 0.769801 SUCCESS 144
111111010   24   35   25   29   17   30   17   22 11.891991 0.156088 SUCCESS 145
111111100   19   25   32   24   25   29   24   31  6.470377 0.594695 SUCCESS 146
111111110   27   26   32   22   19   33   13   28 13.510532 0.095450 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   31   31   33   30   24   29   21   36 15.252201 0.054423 SUCCESS   0
000000011   34   28   24   25   23   28   21   31  7.445473 0.489418 SUCCESS   1
000000101   19   34   34   24   20   21   17   22 12.924680 0.114468 SUCCESS   2
000000111   27   22   25   20   34   26   21   36 11.571593 0.171366 SUCCESS   3
000001001   28   23   15   32   19   28   27   18 10.628272 0.223664 SUCCESS   4
000001011   18   33   28   30   27   25   21   19  8.774066 0.361713 SUCCESS   5
000001101   19   22   24   21   27   26   27   26  2.765276 0.948213 SUCCESS   6
000001111   27   20   25   21   32   17   25   31  8.239849 0.410399 SUCCESS   7
000010001   21   25   20   19   23   26   23   23  2.916207 0.939505 SUCCESS   8
000010011   27   27   21   24   26   26   30   21  3.105533 0.927561 SUCCESS   9
000010101   29   22   31   19   25   30   20   24  6.392925 0.603307 SUCCESS  10
000010111   17   30   27   30   24   24   22   21  6.010963 0.646004 SUCCESS  11
000011001   20   27   17   25   20   22   24   29  5.407899 0.713221 SUCCESS  12
000011011   17   23   27   22   26   28   29   23  4.570495 0.802340 SUCCESS  13
000011101   21   29   23   20   30   22   28   20  5.231151 0.732609 SUCCESS  14
000011111   33   23   21   19   34   16   29   36 18.435000 0.018191 SUCCESS  15
000100011   22   30   21   21   21   27   26   18  5.170910 0.739163 SUCCESS  16
000100101   21   23   26   31   16   32   28   22  8.756855 0.363221 SUCCESS  17
000100111   26   29   24   34   18   24   20   26  7.587799 0.474734 SUCCESS  18
000101001   27   24   23   23   23   24   20   29  2.265481 0.971772 SUCCESS  19
000101011   26   21   28   27   34   25   20   22  6.418742 0.600434 SUCCESS  20
000101101   27   30   23   23   28   20   16   20  6.958918 0.541072 SUCCESS  21
000101111   20   28   25   30   28   31   23   19  6.427348 0.599477 SUCCESS  22
000110011   22   22   24   22   17   23   24   27  3.433213 0.904311 SUCCESS  23
000110101   19   18   23   27   24   26   32   23  5.985146 0.648896 SUCCESS  24
000110111   20   30   33   26   26   23   30   25  6.928467 0.544370 SUCCESS  25
000111001   23   21   29   25   23   26   19   22  3.154520 0.924289 SUCCESS  26
000111011   22   22   25   26   25   25   18   21  2.865897 0.942489 SUCCESS  27
000111101   23   26   17   31   19   23   24   22  5.924905 0.655643 SUCCESS  28
000111111   27   23   24   16   33   22   33   33 13.012061 0.111435 SUCCESS  29
001000011   21   24   19   27   30   26   30   17  7.103891 0.525466 SUCCESS  30
